id,titolo,descrizione,programma,tipo,stato,data_apertura,data_chiusura,budget_totale,contributo_max,beneficiari,settore,keywords,ente,link
,Gathering knowledge and exchanging best practices on measures reducing underage drinking and heavy episodic drinking,Call for Proposals for Projects 2016,31061266,1,31094503,2016-03-04T00:00:00.000+0000,2016-06-03T00:00:00.000+0000,,,,,"brief interventions, heavy episodic drinking, drinking, alcohol, underage drinking",HP-PJ-2016,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Early diagnosis of tuberculosis,Call for Proposals for Projects 2015,31061266,1,31094503,2015-06-05T00:00:00.000+0000,2015-09-15T00:00:00.000+0000,,,,,"integration of care, HIV/AIDS, public health challenge, tuberculosis , Early diagnosis ",HP-PJ-2015-Master,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Development of next generation biofuel technologies,COMPETITIVE LOW-CARBON ENERGY,31045243,1,31094503,2015-10-27T00:00:00.000+0000,2016-02-16T00:00:00.000+0000,,,,,"Renewable energy sources - general, Bioenergy, chemical pathway, pyrolysis, biomass",H2020-LCE-2016-2017,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Ensuring effective implementation of EU product efficiency legislation,Energy Efficiency,31045243,1,31094503,2014-12-10T00:00:00.000+0000,2015-06-04T00:00:00.000+0000,,,,,"Market surveillance, Energy labels, Energy efficient products, Social sciences and humanities, Sustainable energy policy",H2020-EE-2014-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,New therapies for rare diseases ,Personalised Medicine,31045243,1,31094503,2016-07-28T00:00:00.000+0000,2016-10-04T00:00:00.000+0000,,,,,"Social sciences and humanities, Drug development, clinical phases, International cooperation, Rare diseases, Pharmaceutical development",H2020-SC1-2016-2017,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Widening materials models,"Call for Nanotechnologies, Advanced Materials and Production",31045243,1,31094503,2013-12-11T00:00:00.000+0000,2014-05-06T00:00:00.000+0000,,,,,"Gene therapy, Tissue culture, Molecular and cellular neuroscience, Application of mathematics in sciences, Pure mathematics, Applied mathematics",H2020-NMP-2014-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Bottom-up space technologies at low TRL,H2020-LEIT-Space-Competitiveness of the European Space Sector-2014,31045243,1,31094503,2013-12-11T00:00:00.000+0000,2014-03-26T00:00:00.000+0000,,,,,"Remote Sensing Instruments / Sensors, Electromagnetic Technologies and Techniques, Optoelectronics, Radio Frequency / Microwave Communications, Optics",H2020-COMPET-2014,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Understanding disease: systems medicine,Personalising health and care,31045243,1,31094503,2014-07-30T00:00:00.000+0000,2014-10-14T00:00:00.000+0000,,,,,"MEDICAL AND HEALTH SCIENCES, Gender, Systems medicine, Clinical, Disease models",H2020-PHC-2014-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Resolve supply-chain hurdles for turning residual waste streams into functional molecules for food and/or non-food market applications,H2020-BBI-JTI-2020,31045243,1,31094503,2020-04-15T00:00:00.000+0000,2020-09-03T00:00:00.000+0000,,,,,"Agricultural waste, Cosmetics, Food additives, Bioproducts (products that are manufactured using, Industrial biotechnology",H2020-BBI-JTI-2020,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Decarbonising long distance shipping,2018-2020 Mobility for Growth,31045243,1,31094503,2019-09-03T00:00:00.000+0000,2020-01-09T00:00:00.000+0000,,,,,"Blue Growth, Decarbonisation in maritime, Decarbonisation, Waterborne transport, efficiency improvement",H2020-MG-2018-2019-2020,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Restoring market conditions - multi programmes,Call for proposals for multi programmes - crisis call 2020,31072773,1,31094503,2020-07-07T00:00:00.000+0000,2020-08-27T00:00:00.000+0000,,,,,,AGRI-MULTI-2020-CRISIS,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,The young as a driver of social change,"The young generation in an innovative, inclusive and sustainable Europe",31045243,1,31094503,2014-12-10T00:00:00.000+0000,2015-05-28T00:00:00.000+0000,,,,,"Social sciences and humanities, Entrepreneurship, Psychology, Education policy, Gender",H2020-YOUNG-2014-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Development of New digital Microphone-MEMS-Sensors for wind tunnels with open/closed test sections and flight tests,Clean Sky 2 Call for Proposals 11,31045243,1,31094503,2020-01-28T00:00:00.000+0000,2020-05-12T00:00:00.000+0000,,,,,,H2020-CS2-CFP11-2020-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Cyber-physical Systems,H2020-ECSEL-2015-2-IA-two-stage,31045243,1,31094503,2015-03-17T00:00:00.000+0000,2015-05-12T00:00:00.000+0000,,,,,"Semiconductors, components, systems, Cyber-physical systems, Embedded systems, Collaborative Systems, Systems of systems",H2020-ECSEL-2015-2-IA-two-stage-Master,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Technical Assistance Rail Freight Corridors,CEF 2 Transport - TA - CINEA - General Envelope,43251567,1,31094503,2021-12-16T00:00:00.000+0000,2022-02-17T00:00:00.000+0000,,,,,,CEF-T-2021-TAGENEA,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Staff exchanges,"Training, conferences, staff exchanges and studies",43251842,1,31094503,2024-02-29T00:00:00.000+0000,2024-05-07T00:00:00.000+0000,,,,,"Staff exchanges, EUAF-2024-TRAI-03, Union Anti-fraud programme",EUAF-2024-TRAI,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Digital health and care services – support for strategy and (early) adoption,Digital transformation in Health and Care,31045243,1,31094503,2017-11-07T00:00:00.000+0000,2018-04-25T00:00:00.000+0000,,,,,"Innovation systems, eHealth, Innovation Procurement, Health services, health care research, Open Innovation",H2020-SC1-DTH-2018-2020,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Global Alliance for Chronic Diseases (GACD) - Scaling-up of evidence-based health interventions at population level for the prevention and management of hypertension and/or diabetes,"Better Health and care, economic growth and sustainable health systems",31045243,1,31094503,2017-11-07T00:00:00.000+0000,2018-04-18T00:00:00.000+0000,,,,,"International cooperation, Social sciences and humanities, Gender, Diabetology, Health economics",H2020-SC1-BHC-2018-2020,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Analysis for Moving Block and implementation of Virtual Coupling concept,SHIFT2RAIL JU CALL FOR PROPOSALS 2018,31045243,1,31094503,2018-01-16T00:00:00.000+0000,2018-04-24T00:00:00.000+0000,,,,,"Rail Transport, Rail Operations, Rail Signalling, ERTMS, Rail Services",H2020-S2RJU-2018,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Innovations for energy efficiency and emission control in waterborne transport,2016-2017 Mobility for Growth ,31045243,1,31094503,2016-09-20T00:00:00.000+0000,2017-01-26T00:00:00.000+0000,,,,,"Waterborne transport, Energy indicators and statistics, Alternative fuels, Shipbuilding and marine equipment manufacturing, Decarbonisation in maritime",H2020-MG-2016-2017,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Multi-level modelling and testing of electric vehicles and their components,2016-2017 Green Vehicles,31045243,1,31094503,2016-10-04T00:00:00.000+0000,2017-02-01T00:00:00.000+0000,,,,,"EGVI, Contractual public-private partnership, Vehicle engineering, Transport engineering, International cooperation",H2020-GV-2016-2017,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Improving the air quality and reducing the carbon footprint of European cities,"Growing a Low Carbon, Resource Efficient Economy with a Sustainable Supply of Raw Materials",31045243,1,31094503,2014-12-10T00:00:00.000+0000,2015-04-21T00:00:00.000+0000,,,,,"Public and environmental health, Environmental health, Technological innovation, Technology development, Environment, Pollution & Climate",H2020-SC5-2014-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,International cooperation for research infrastructures,"Support to Innovation, Human resources, Policy and International cooperation for research infrastructures",31045243,1,31094503,2013-12-11T00:00:00.000+0000,2014-09-02T00:00:00.000+0000,,,,,"International cooperation, Knowledge transfer, International cooperation, Global research infrastructures, ENP",H2020-INFRASUPP-2014-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Support for the enhancement of the impact of FoF PPP projects,Call for Factories of the Future,31045243,1,31094503,2013-12-11T00:00:00.000+0000,2014-03-20T00:00:00.000+0000,,,,,"Contractual public-private partnership, FoF, Take-up of project results, Project life-time, Monitoring",H2020-FoF-2014-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,In support of documentary standards (CSA),FOUNDATIONS FOR TOMORROW’S INDUSTRY,31045243,1,31094503,2018-10-16T00:00:00.000+0000,2019-09-03T00:00:00.000+0000,,,,,"Nanotechnology, nano-materials, nano engineering, International cooperation, nanomaterials from characterisation of materials and exposure, potential for persistence, bioaccumulation and toxicity",H2020-NMBP-TO-IND-2018-2020,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Refueling Protocols for Medium and Heavy-Duty Vehicles,FCH2 JU call for proposals 2019,31045243,1,31094503,2019-01-15T00:00:00.000+0000,2019-04-23T00:00:00.000+0000,,,,,"Low emission technology in transport, Metering, Metering & billing, International cooperation, Certification & Standards",H2020-JTI-FCH-2019-1,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Multi megawatt high-temperature electrolyser for valorisation as energy vector in energy intensive industry,FCH2 JU call for proposals 2019,31045243,1,31094503,2019-01-15T00:00:00.000+0000,2019-04-23T00:00:00.000+0000,,,,,"Energy systems (production, distribution, applicat, Energy efficient industry, Energy collection, conversion and storage, renewab, Energy intensive industry, Renewable energy sources - general",H2020-JTI-FCH-2019-1,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Identify opportunities for ICT to increase the efficiency of biomass supply chains for the bio-based industry,BIO BASED INDUSTRIES PPP,31045243,1,31094503,2017-04-11T00:00:00.000+0000,2017-09-07T00:00:00.000+0000,,,,,"Computer sciences, information science and bioinfo, Biophysics, Bioproducts (products that are manufactured using, Scientific computing, simulation and modelling too, Supply chain management",H2020-BBI-JTI-2017,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,"Availability and use of research infrastructures for education, training and competence building","Nuclear Fission, Fusion and Radiation Protection Research",31045243,1,31094503,2018-05-15T00:00:00.000+0000,2018-09-27T00:00:00.000+0000,,,,,"Radiation and nuclear chemistry, Nuclear physics, Post-secondary education, Nuclear chemistry, Nuclear related engineering",NFRP-2018,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Industrial biotransformation for the production of bio-based chemicals,BIO BASED INDUSTRIES PPP,31045243,1,31094503,2016-04-19T00:00:00.000+0000,2016-09-08T00:00:00.000+0000,,,,,"Catalysis, Bioproducts (products that are manufactured using, Applied biotechnology (non-medical), bioreactors,, Bioprocessing technologies (industrial processes r, Social sciences and humanities",H2020-BBI-JTI-2016,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Strategy for the exploitation of research results funded under Euratom Research and training Programmes in the field of radiation protection,"Nuclear Fission, Fusion and Radiation Protection Research",31045243,1,31094503,2018-05-15T00:00:00.000+0000,2018-09-27T00:00:00.000+0000,,,,,"Radiology, nuclear medicine and medical imaging, Radiation therapy, Dosimetry, radiation protection, exploitation",NFRP-2018,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Progress novel assets (one FTIH start) for non-tubercular mycobacteria (NTM) that may act synergistically with bedaquiline and cytochrome bc drugs,H2020-JTI-IMI2-2018-16-single-stage,31045243,1,31094503,2018-07-18T00:00:00.000+0000,2018-10-24T00:00:00.000+0000,,,,,"Antimicrobial resistance, Innovative Medicines Initiative, Antimicrobial resistance, IMI2, AMR",H2020-JTI-IMI2-2018-16-single-stage,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Creation of a pan-European Paediatric Clinical Trials Network ,H2020-JTI-IMI2-2016-10-two-stage,31045243,1,31094503,2017-01-04T00:00:00.000+0000,2017-03-28T00:00:00.000+0000,,,,,"Paediatrics, IMI2, Clinical trials, clinical pharmacology, IMI2 JU",H2020-JTI-IMI2-2016-10-two-stage,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Stimulating demand for sustainable energy skills in the construction sector,"BUILDING A LOW-CARBON, CLIMATE RESILIENT FUTURE: SECURE, CLEAN AND EFFICIENT ENERGY",31045243,1,31094503,2019-03-12T00:00:00.000+0000,2019-09-10T00:00:00.000+0000,,,,,"Renovation, Open Innovation, Construction skills, Accelerating Clean Energy Innovation, skills",H2020-LC-SC3-2018-2019-2020,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,EIC Pathfinder Challenge: Towards the Healthcare Continuum: technologies to support a radical shift from episodic to continuous healthcare,EIC Pathfinder Challenges 2022,43108390,1,31094503,2022-06-16T00:00:00.000+0000,2022-10-19T00:00:00.000+0000,,,,,"Psychosomatics, Surgery, Oncology, Orthopaedics, Ophthalmology",HORIZON-EIC-2022-PATHFINDERCHALLENGES-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Public understanding of hydrogen and fuel cell technologies,HORIZON-JTI-CLEANH2-2022,43108390,1,31094503,2022-03-31T00:00:00.000+0000,2022-09-20T00:00:00.000+0000,,,,,"Mechanical engineering, Electrical engineering, Electronic engineering, In, Chemical engineering, Impact Assessment, Energy education and training",HORIZON-JTI-CLEANH2-2022-2,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Uptake Of Innovative Cybersecurity Solutions,Cybersecurity and Trust,43152860,1,31094503,2022-11-15T00:00:00.000+0000,2023-02-15T00:00:00.000+0000,,,,,"Cybersecurity, Trust in securing digital/physical assets, Cybersecurity-aware culture, Trust, Security",DIGITAL-ECCC-2022-CYBER-03,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Topic 4 - Support for simple programmes – Fresh fruit and vegetables,Call for proposals for simple programmes 2023 – Promotion of agricultural products,43298664,1,31094503,2023-02-02T00:00:00.000+0000,2023-04-20T00:00:00.000+0000,,,,,"agri-food, agri portal, food, activities, campaigns",AGRIP-SIMPLE-2023,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Modelling in support to the transition to a Low-Carbon Energy System in Europe,"BUILDING A LOW-CARBON, CLIMATE RESILIENT FUTURE: SECURE, CLEAN AND EFFICIENT ENERGY",31045243,1,31094503,2018-05-15T00:00:00.000+0000,2018-09-06T00:00:00.000+0000,,,,,"Social sciences and humanities, Energy indicators and statistics, Energy systems (production, distribution, applicat, Econometrics, statistical methods, policy",H2020-LC-SC3-2018-2019-2020,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,"An empowering, inclusive Next Generation Internet",Information and Communication Technologies,31045243,1,31094503,2019-11-19T00:00:00.000+0000,2020-06-17T00:00:00.000+0000,,,,,"Social sciences and humanities, Automated translation, Natural language processing, Human computer interaction, Software Design & Development",H2020-ICT-2018-20,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Proton versus photon therapy for oesophageal cancer - a trimodality strategy,H2020-JTI-IMI2-2020-20-two-stage,31045243,1,31094503,2020-01-21T00:00:00.000+0000,2020-05-12T00:00:00.000+0000,,,,,"Oncology, Anticancer therapy, Radiation therapy, Radiotherapy, Innovative Medicines Initiative",H2020-JTI-IMI2-2020-20-two-stage,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Training of Responders,FCH2 JU call for proposals 2019,31045243,1,31094503,2019-01-15T00:00:00.000+0000,2019-04-23T00:00:00.000+0000,,,,,"Incident Response, Energy education and training, Continuing professional training, Civil first responders protection, International cooperation",H2020-JTI-FCH-2019-1,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Develop sustainable bio-based materials for high-volume consumer products,H2020-BBI-JTI-2019,31045243,1,31094503,2019-04-04T00:00:00.000+0000,2019-09-04T00:00:00.000+0000,,,,,"Food packaging, Industrial biotechnology, Production technology, process engineering, Composites (including laminates, reinforced plasti, Chemical engineering",H2020-BBI-JTI-2019,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,In-line measurement and control for micro-/nano-enabled high-volume manufacturing for enhanced reliability,Industry 2020 in the Circular Economy,31045243,1,31094503,2016-09-20T00:00:00.000+0000,2017-01-19T00:00:00.000+0000,,,,,"Contractual public-private partnership, Nano-processes (applications on nano-scale), Cross-cutting Key-Enabling Technologies (KETs), FoF, Production technology, process engineering",H2020-IND-CE-2016-17,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Public procurement of innovative solutions (PPI) for building the resilience of health care systems in the context of recovery,"Ensuring access to innovative, sustainable and high-quality health care (Single Stage - 2022)",43108390,1,31094503,2021-10-06T00:00:00.000+0000,2022-04-21T00:00:00.000+0000,,,,,"Types of innovation, Health care sciences and services (including hospi, Social sciences and humanities, Public and environmental health, Innovation Procurement",HORIZON-HLTH-2022-CARE-08,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Improving transport infrastructure resilience - works or mixed,CEF 2 Transport - Actions related to safe and secure mobility - Cohesion envelope,43251567,1,31094503,2021-09-16T00:00:00.000+0000,2022-01-19T00:00:00.000+0000,,,,,,CEF-T-2021-SAFEMOBCOEN,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Demonstrator development for the use of Formal Methods in railway environment and Support to implementation of CSIRT to the railway sector,Shift2Rail JU call proposals 2019,31045243,1,31094503,2019-01-15T00:00:00.000+0000,2019-06-18T00:00:00.000+0000,,,,,"ERTMS, Rail Services, Rail Signalling, Rail Transport, Rail Operations",H2020-S2RJU-2019,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Adapting cyber situational awareness for evolving computing environments,Research actions through actual costs grants following the call for proposals,44181033,1,31094503,2022-06-21T00:00:00.000+0000,2022-11-24T00:00:00.000+0000,,,,,"common operational picture, cyber, decision making, netwwork, real time information",EDF-2022-RA,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Cost analysis software platform for evaluating innovative manufacturing technology for SMART fuselage,Clean Sky 2 Call for Proposals 09,31045243,1,31094503,2018-11-26T00:00:00.000+0000,2019-02-06T00:00:00.000+0000,,,,,,H2020-CS2-CFP09-2018-02,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,VLD.04 W2 Advanced Rotorcraft and Business Aviation (BA) Operations,SESAR 2020 IR-VLD WAVE 2,31045243,1,31094503,2019-01-10T00:00:00.000+0000,2019-04-16T00:00:00.000+0000,,,,,"Transport Aviation / Air traffic management (ATM), Air Traffic Management ATM, Air Traffic control, OVA Overall ATM, Aircraft Avionics, Systems & Equipment AVS",H2020-SESAR-2019-1,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,"Development and validation of an optimised gearbox housing structural design and manufacturing process, based on additive layer manufacturing concept leading to a flight cleared demonstrator.",Clean Sky 2 Call for Proposals 02,31045243,1,31094503,2015-07-30T00:00:00.000+0000,2015-11-18T00:00:00.000+0000,,,,,,H2020-CS2-CFP02-2015-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,"Marie Skłodowska-Curie Co-funding of regional, national and international programmes (COFUND-DP)","COFUND - Co-funding of Regional, National and International Programmes",31045243,1,31094503,2015-04-14T00:00:00.000+0000,2015-10-01T00:00:00.000+0000,,,,,"Gender, Social sciences and humanities",H2020-MSCA-COFUND-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Database of dynamic material properties for selected materials commonly used in aircraft industry.,Clean Sky 2 Call for Proposals 02,31045243,1,31094503,2015-07-30T00:00:00.000+0000,2015-11-18T00:00:00.000+0000,,,,,,H2020-CS2-CFP02-2015-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,High production rate composite Keel Beam feasibility,Clean Sky 2 Call for Proposals 02,31045243,1,31094503,2015-07-30T00:00:00.000+0000,2015-11-18T00:00:00.000+0000,,,,,,H2020-CS2-CFP02-2015-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,"support the initial implementation, testing and further development of European Strategic Cluster Partnerships - Going International (ESCP-4i)",CLUSTER GO INTERNATIONAL ,31059643,1,31094503,2017-03-23T00:00:00.000+0000,2017-05-23T00:00:00.000+0000,,,,,,COS-CLUSINT-2016-03-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Interoperability of systems and equipment at tactical level; between equipment and databases; and/or between databases of threats and materials,Border Management 2023,43108390,1,31094503,2023-06-29T00:00:00.000+0000,2023-11-23T00:00:00.000+0000,,,,,"Systems Engineering and Design Management, Customs authorities, Security, Artificial Intelligence, Global Satellite Navigation System (GNSS) / Servic",HORIZON-CL3-2023-BM-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Integrating radiation research in the European Union,EURATOM Fission,31045243,1,31094503,2013-12-11T00:00:00.000+0000,2014-09-17T00:00:00.000+0000,,,,,"Dosimetry, Gender, Radiotherapy, International cooperation, Nuclear",NFRP-2014-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Cyclic testing of renewable hydrogen storage in a small salt cavern,FCH2 JU call for proposals 2020,31045243,1,31094503,2020-01-14T00:00:00.000+0000,2020-04-29T00:00:00.000+0000,,,,,"Geology, Carbon capture and sequestration, Mineralogy, Energy storage, salt cavern",H2020-JTI-FCH-2020-1,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,European Platforms for the promotion of emerging artists,European Platforms for the promotion of emerging artists,43251814,1,31094503,2023-10-26T00:00:00.000+0000,2024-01-31T00:00:00.000+0000,,,,,"street art, Literature books and reading - Culture, Archives and Librairies - Culture, Design and applied arts - Culture, Radio and Cross-Media - Culture",CREA-CULT-2024-PLAT,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Future-proofing historical buildings for the clean energy transition,"Efficient, sustainable and inclusive energy use",43108390,1,31094503,2022-12-13T00:00:00.000+0000,2023-04-20T00:00:00.000+0000,,,,,"Energy efficient buildings, New European Bauhaus, Indoor Air Quality, occupancy comfort, renovation",HORIZON-CL5-2023-D4-01,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Proteins from alternative and unconventional sources,Circular Bio-based Europe Joint Undertaking,43108390,1,31094503,2022-06-22T00:00:00.000+0000,2022-09-22T00:00:00.000+0000,,,,,"Sustainable innovation, Food biotechnology, Food sciences, Bio-based products (products that are manufactured, Agricultural biotechnology and food biotechnology",HORIZON-JU-CBE-2022,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Responsive space system,Research actions through actual costs grants following the call for proposals,44181033,1,31094503,2022-06-21T00:00:00.000+0000,2022-11-24T00:00:00.000+0000,,,,,"space defence, launcher, satellite, payload, launch infrastructure",EDF-2022-RA,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Electromagnetic artillery demonstrator,Research actions (dedicated to disruptive technologies for defence) through lump sum grants following the call for proposals,44181033,1,31094503,2022-06-21T00:00:00.000+0000,2022-11-24T00:00:00.000+0000,,,,,"air defence, ammunition, velocity, electromagnetic, strike",EDF-2022-LS-RA-DIS,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,PJ.01 W2 Enhanced Arrival and Departures,SESAR 2020 IR-VLD WAVE 2,31045243,1,31094503,2019-01-10T00:00:00.000+0000,2019-04-16T00:00:00.000+0000,,,,,"Transport Aviation / Air traffic management (ATM), Air Traffic control, Air Traffic Management ATM, Aircraft Avionics, Systems & Equipment AVS, APT Airport Traffic Management",H2020-SESAR-2019-1,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Highly efficient management of soil quality and land resources,Sustainable Food Security,31045243,1,31094503,2017-10-31T00:00:00.000+0000,2018-02-13T00:00:00.000+0000,,,,,"Agriculture, China, International cooperation, Awareness Raising, Soil management",H2020-SFS-2018-2020,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Human-centric Digital Age,ICT 2014 - Information and Communications Technologies,31045243,1,31094503,2013-12-11T00:00:00.000+0000,2014-04-23T00:00:00.000+0000,,,,,"Gender, Social sciences and humanities, Responsibility, Attention focus, Smart connected environments",H2020-ICT-2014,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Developing smart factories that are attractive to workers,Call for Factories of the Future,31045243,1,31094503,2013-12-11T00:00:00.000+0000,2014-03-20T00:00:00.000+0000,,,,,"Social sciences and humanities, Contractual public-private partnership, International cooperation, FoF, Smart factories",H2020-FoF-2014-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,External nutrient inputs ,Sustainable Food Security ,31045243,1,31094503,2013-12-11T00:00:00.000+0000,2014-03-12T00:00:00.000+0000,,,,,"Soil functions, Temperate agriculture, Field crops, Fertilisation, Crop rotations",H2020-SFS-2014-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,The European Union's contribution to global development: in search of greater policy coherence,Europe as a global actor,31045243,1,31094503,2014-12-10T00:00:00.000+0000,2015-05-28T00:00:00.000+0000,,,,,"International relations, International cooperation, Social sciences and humanities, EU studies, Sustainable development",H2020-INT-2014-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Environmental regulations and policies,Clean Sky 2 Call for Proposals 09,31045243,1,31094503,2018-11-26T00:00:00.000+0000,2019-02-06T00:00:00.000+0000,,,,,,H2020-CS2-CFP09-2018-02,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,PJ.07 W2 Optimised airspace users operations,SESAR 2020 IR-VLD WAVE 2,31045243,1,31094503,2019-01-10T00:00:00.000+0000,2019-04-16T00:00:00.000+0000,,,,,"Air Traffic control, OVA Overall ATM, Aircraft Avionics, Systems & Equipment AVS, Transport Aviation / Air traffic management (ATM), Air Traffic Management ATM",H2020-SESAR-2019-1,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
,Innovative approach to communication encouraging girls to study science,Call for promoting Gender Equality in Research and Innovation,31045243,1,31094503,2013-12-11T00:00:00.000+0000,2014-10-02T00:00:00.000+0000,,,,,"Gender in media and communication, Gender, Collective Awareness Platforms, Informal science education, Education policy",H2020-GERI-2014-2015,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/
